Date,Open,High,Low,Close,AdjClose,Volume
2011-05-16,22.895,23.045,22.58,22.6,19.234018,2553185
2011-05-17,22.514999,22.540001,22.049999,22.049999,18.765932,2388965
2011-05-18,22.195,22.325001,21.965,22.27,18.953165,1486792
2011-05-19,22.475,23.025,22.305,23.025,19.59572,2542269
2011-05-20,23.0,23.030001000000002,22.700001,22.715,19.331889999999998,1528698
2011-05-23,22.5,22.639999,22.27,22.4,19.063799,1628305
2011-05-24,22.49,22.715,22.379998999999998,22.565001000000002,19.204231,994593
2011-05-25,22.379998999999998,22.450001,22.075001,22.344998999999998,19.016994,1437102
2011-05-26,22.370001000000002,22.59,22.215,22.504998999999998,19.153166,1461846
2011-05-27,22.57,22.9,22.27,22.42,19.080826000000002,2329645
2011-05-30,22.455,22.549999,22.309998999999998,22.424999,19.085077,595123
2011-05-31,22.594998999999998,22.98,22.525,22.879998999999998,19.472315,1847573
2011-06-01,22.705,22.715,22.129998999999998,22.129998999999998,19.016872,1922593
2011-06-02,21.969998999999998,21.969998999999998,21.389999,21.389999,18.380966,1880175
2011-06-03,21.49,21.700001,21.355,21.52,18.68486,1284798
2011-06-06,21.424999,21.584999,21.309998999999998,21.465,18.637106,940306
2011-06-07,21.48,21.540001,21.33,21.34,18.528578,1263571
2011-06-08,21.264999,21.375,21.055,21.209999,18.415697,1578956
2011-06-09,21.205,21.625,21.094998999999998,21.575001,18.732613,1560580
2011-06-10,21.610001,21.65,21.045,21.115,18.333218,2170426
2011-06-13,21.16,21.33,21.02,21.27,18.467794,808888
2011-06-14,21.405001000000002,21.545,21.27,21.405001000000002,18.585014,1086439
2011-06-15,21.424999,21.834999,21.405001000000002,21.674999,18.819437,2011357
2011-06-16,21.5,21.865,21.469998999999998,21.629998999999998,18.780369,2965295
2011-06-17,21.540001,21.549999,21.01,21.440001000000002,18.6154,3265387
2011-06-20,21.07,21.34,20.965,21.26,18.459114000000003,2009111
2011-06-21,21.35,21.85,21.33,21.754998999999998,18.888901,2124470
2011-06-22,21.719998999999998,21.889999,21.504998999999998,21.85,18.971384,1524596
2011-06-23,21.799999,22.375,21.700001,22.02,19.118988,3829411
2011-06-24,22.370001000000002,22.695,22.105,22.4,19.448923,2839676
2011-06-27,22.395,22.575001,22.049999,22.049999,19.145037,1659028
2011-06-28,22.125,22.615,22.030001000000002,22.540001,19.570482000000002,2103596
2011-06-29,22.594998999999998,22.889999,22.58,22.825001,19.817936,2232112
2011-06-30,22.945,23.184998999999998,22.735001,23.08,20.039341,2148136
2011-07-01,23.125,23.15,22.92,23.01,19.978563,1679599
2011-07-04,23.055,23.809998999999998,23.030001000000002,23.424999,20.338888,2162287
2011-07-05,23.4,23.584999,23.280001000000002,23.549999,20.447418,1489125
2011-07-06,23.6,23.745001000000002,23.370001000000002,23.389999,20.308495999999998,1619935
2011-07-07,23.52,23.605,23.299999,23.385,20.304157,1409184
2011-07-08,23.405001000000002,23.525,23.059998999999998,23.125,20.078411,1904702
2011-07-11,22.98,23.370001000000002,22.764999,23.045,20.008948999999998,2333134
2011-07-12,22.475,23.24,22.0,23.195,20.139191,3926644
2011-07-13,23.040001,24.110001,22.965,24.094998999999998,20.920618,2650233
2011-07-14,23.865,24.030001000000002,23.790001,23.790001,20.655804,1778416
2011-07-15,23.73,24.030001000000002,23.48,23.709999,20.586342000000002,2260077
2011-07-18,23.59,23.76,23.275,23.76,20.629751000000002,2053102
2011-07-19,23.795,24.139999,23.66,23.93,20.777359,1663875
2011-07-20,24.195,24.969998999999998,24.16,24.790001,21.524055,4007421
2011-07-21,24.895,24.995001000000002,24.34,24.870001000000002,21.593517000000002,2737461
2011-07-22,24.995001000000002,25.07,24.66,24.834999,21.563126,1590706
2011-07-25,24.735001,25.389999,24.674999,25.040001,21.741119,1454358
2011-07-26,24.985001,25.094998999999998,24.129998999999998,24.48,21.254896,2382372
2011-07-27,24.379998999999998,24.75,24.040001,24.33,21.124657,1822057
2011-07-28,24.299999,24.540001,24.055,24.299999,21.098612,1954247
2011-07-29,24.014999,24.705,23.450001,24.200001,21.011785999999997,2336289
2011-08-01,24.27,24.85,23.865,23.955,20.799063,1879955
2011-08-02,23.855,24.0,23.334999,23.535,20.434397,2397229
2011-08-03,23.305,23.450001,22.67,22.73,19.735451,3129395
2011-08-04,23.08,23.1,21.34,21.355,18.541598999999998,4079032
2011-08-05,20.780001000000002,22.275,20.625,21.68,18.823782,6116622
2011-08-08,21.225,21.4,19.77,19.809998999999998,17.20014,5113272
2011-08-09,19.799999,20.610001,19.049999,20.495001000000002,17.794897,6224431
2011-08-10,20.834999,21.17,19.825001,19.91,17.286967999999998,4311701
2011-08-11,20.549999,20.775,19.424999,20.665001,17.942501,4028729
2011-08-12,20.695,21.370001000000002,20.129998999999998,21.35,18.537257999999998,2218980
2011-08-15,21.565001000000002,22.209999,21.25,22.01,19.110304,1755689
2011-08-16,22.004998999999998,22.065001000000002,21.325001,21.799999,18.927973,2072165
2011-08-17,21.809998999999998,22.745001000000002,21.469998999999998,22.6,19.622578,2208873
2011-08-18,22.305,22.424999,20.74,20.9,18.146542,3041564
2011-08-19,20.77,21.195,20.030001000000002,20.77,18.033669,2521210
2011-08-22,20.549999,21.440001000000002,20.41,21.084999,18.307169000000002,1466072
2011-08-23,21.334999,21.575001,21.0,21.280001000000002,18.47648,1593896
2011-08-24,21.424999,22.049999,21.120001000000002,21.754998999999998,18.888901,1661494
2011-08-25,22.035,22.174999,21.174999,21.389999,18.571985,1582959
2011-08-26,21.280001000000002,21.434998999999998,20.41,21.014999,18.246391,2077917
2011-08-29,21.43,21.5,21.215,21.215,18.420044,725069
2011-08-30,21.5,21.68,21.02,21.360001,18.545939999999998,1623675
2011-08-31,21.395,22.139999,21.264999,22.139999,19.223179000000002,2355938
2011-09-01,22.155001000000002,22.325001,21.610001,22.059998999999998,19.153717,1251059
2011-09-02,21.85,21.945,21.18,21.18,18.389656,1540472
2011-09-05,20.855,20.92,20.174999,20.629998999999998,17.912113,1803422
2011-09-06,20.305,20.639999,20.135,20.629998999999998,17.912113,2195084
2011-09-07,20.92,21.889999,20.674999,21.75,18.88456,2787021
2011-09-08,21.790001,21.959999,21.375,21.725,18.862856,1269052
2011-09-09,21.59,21.9,21.18,21.280001000000002,18.47648,2294737
2011-09-12,20.809998999999998,21.695,20.51,21.285,18.480822,2432999
2011-09-13,21.705,21.799999,20.465,21.285,18.480822,3124876
2011-09-14,20.905001000000002,21.77,20.815001000000002,21.77,18.901926,1948210
2011-09-15,21.93,22.424999,21.719998999999998,22.424999,19.470631,2481482
2011-09-16,22.440001000000002,22.48,21.889999,22.48,19.518389000000003,3516660
2011-09-19,21.615,22.299999,21.5,22.205,19.279615,1801701
2011-09-20,22.0,23.02,21.865,22.895,19.878714000000002,2003710
2011-09-21,22.85,23.075001,22.684998999999998,22.684998999999998,19.696377,1922547
2011-09-22,22.0,22.0,20.815001000000002,20.889999,18.137857,4563747
2011-09-23,21.205,21.315001000000002,19.955,20.68,17.955526000000003,2788552
2011-09-26,20.235001,20.940001000000002,20.004998999999998,20.35,17.669001,2641844
2011-09-27,20.915001,21.385,20.545,21.25,18.450434,2167333
2011-09-28,21.145,21.59,21.059998999999998,21.27,18.467794,1555215
2011-09-29,21.155001000000002,21.790001,21.025,21.59,18.745642,1229512
2011-09-30,21.5,21.530001000000002,20.915001,21.205,18.411360000000002,1560727
2011-10-03,20.645,20.985001,20.535,20.92,18.163908,1409265
2011-10-04,20.24,20.275,19.370001000000002,19.83,17.217508,3793112
2011-10-05,20.424999,20.959999,19.995001000000002,20.959999,18.198635,2402134
2011-10-06,21.035,21.715,21.014999,21.705,18.845488,1893286
2011-10-07,21.705,21.834999,20.865,20.985001,18.220345000000002,1782955
2011-10-10,21.225,21.870001000000002,20.780001000000002,21.799999,18.927973,1379310
2011-10-11,21.795,22.405001000000002,21.52,22.405001000000002,19.453266,1646679
2011-10-12,22.25,22.555,21.775,22.35,19.405516,1874535
2011-10-13,22.334999,22.75,22.26,22.594998999999998,19.618235000000002,1624008
2011-10-14,22.684998999999998,23.27,22.555,22.975,19.948173999999998,1615521
2011-10-17,23.049999,23.1,21.975,21.995001000000002,19.097282,1549853
2011-10-18,21.709999,22.440001000000002,21.535,22.4,19.448923,1452576
2011-10-19,22.395,22.395,21.290001,21.440001000000002,18.6154,2367822
2011-10-20,21.155001000000002,21.385,19.98,20.075001,17.430231,3917117
2011-10-21,20.215,20.41,19.91,20.35,17.669001,3396529
2011-10-24,20.59,20.74,20.24,20.549999,17.842651,1351696
2011-10-25,20.504998999999998,21.025,20.365,21.0,18.233366,1955070
2011-10-26,20.91,21.0,20.190001000000002,20.309998999999998,17.634272,1904659
2011-10-27,21.014999,21.6,20.495001000000002,21.57,18.728273,3060617
2011-10-28,21.705,21.895,21.184998999999998,21.35,18.537257999999998,1663624
2011-10-31,21.15,21.514999,21.1,21.370001000000002,18.554623,1783703
2011-11-01,21.1,21.535,20.700001,21.09,18.311510000000002,3989542
2011-11-02,21.184998999999998,21.52,21.0,21.285,18.480822,1393042
2011-11-03,20.799999,21.895,20.66,21.645,18.793392,2154708
2011-11-04,21.799999,21.9,21.174999,21.33,18.519892000000002,1299237
2011-11-07,21.105,21.389999,20.889999,21.215,18.420044,1147295
2011-11-08,21.225,21.370001000000002,20.735001,20.870001000000002,18.120491,1806284
2011-11-09,21.205,21.290001,19.709999,19.965,17.334723999999998,3652109
2011-11-10,20.5,21.34,20.405001000000002,20.969998999999998,18.207319000000002,5867574
2011-11-11,21.040001,22.290001,20.969998999999998,22.264999,19.331711,3250147
2011-11-14,22.51,22.690001000000002,21.834999,22.049999,19.145037,1767002
2011-11-15,21.705,22.094998999999998,21.700001,21.99,19.092941,2009821
2011-11-16,21.934998999999998,22.389999,21.74,22.0,19.101625,1965741
2011-11-17,21.865,22.110001,21.205,21.205,18.411360000000002,2222874
2011-11-18,21.094998999999998,21.34,21.0,21.305,18.498184,1751617
2011-11-21,21.045,21.200001,20.76,20.799999,18.059715,1319771
2011-11-22,20.99,21.15,20.535,20.575001,17.864359,1917973
2011-11-23,20.41,20.700001,20.190001000000002,20.190001000000002,17.530082999999998,1857417
2011-11-24,20.35,20.995001000000002,20.235001,20.74,18.007622,1948141
2011-11-25,20.745001000000002,20.93,20.360001,20.745001000000002,18.011965,1458056
2011-11-28,21.004998999999998,21.440001000000002,20.934998999999998,21.365,18.550282,1216415
2011-11-29,21.26,21.75,20.545,21.4,18.580669,2836752
2011-11-30,21.174999,22.305,21.115,22.195,19.270931,2716230
2011-12-01,22.235001,22.290001,21.73,21.77,18.901926,1374129
2011-12-02,22.025,22.07,21.58,21.93,19.040848,1722158
2011-12-05,22.084999,22.184998999999998,21.915001,22.055,19.149378,1364279
2011-12-06,21.895,22.15,21.76,21.924999,19.036505,1230357
2011-12-07,22.200001,22.27,21.754998999999998,21.82,18.945337,1566971
2011-12-08,22.059998999999998,22.200001,21.48,21.82,18.945337,1705044
2011-12-09,21.594998999999998,22.475,21.5,22.405001000000002,19.453266,1478529
2011-12-12,22.290001,22.415001,22.02,22.035,19.132011,990905
2011-12-13,22.09,22.83,22.08,22.625,19.644285,1668223
2011-12-14,22.49,22.75,22.08,22.15,19.231861,1657011
2011-12-15,22.115,22.84,22.084999,22.76,19.761499,1710287
2011-12-16,22.860001,23.014999,22.635,22.65,19.665991,2367268
2011-12-19,22.465,22.885,22.4,22.799999,19.796228,1067347
2011-12-20,22.780001000000002,23.67,22.735001,23.6,20.490831,2108747
2011-12-21,23.645,23.735001,23.049999,23.684998999999998,20.564636,2542205
2011-12-22,23.75,23.825001,23.434998999999998,23.645,20.529907,1024682
2011-12-23,23.805,23.9,23.33,23.6,20.490831,614732
2011-12-27,23.525,23.639999,23.365,23.59,20.482151,423522
2011-12-28,23.57,23.795,23.450001,23.6,20.490831,680795
2011-12-29,23.65,24.08,23.530001000000002,24.08,20.907595,751412
2011-12-30,24.1,24.27,23.9,24.15,20.968372,685247
2012-01-02,24.014999,24.5,24.014999,24.5,21.272263,632206
2012-01-03,24.5,24.5,24.309998999999998,24.5,21.272263,1417588
2012-01-04,24.315001000000002,24.575001,24.295,24.565001000000002,21.328699,1580817
2012-01-05,24.6,25.025,24.594998999999998,24.889999,21.610882,2412476
2012-01-06,24.950001,25.15,24.51,24.764999,21.50235,1561995
2012-01-09,24.805,24.934998999999998,24.684998999999998,24.865,21.589178,1067315
2012-01-10,24.9,25.200001,24.860001,25.030001000000002,21.732437,1199185
2012-01-11,24.955,25.17,24.709999,25.17,21.853994,1541233
2012-01-12,25.200001,25.565001000000002,24.995001000000002,25.035,21.736778,1402965
2012-01-13,25.254998999999998,25.51,24.91,25.15,21.836628,2141930
2012-01-16,24.969998999999998,25.700001,24.834999,25.674999,22.292461,1185409
2012-01-17,25.82,26.014999,25.475,25.790001,22.392313,1867802
2012-01-18,25.75,25.98,25.495001000000002,25.865,22.45743,1835223
2012-01-19,25.940001000000002,26.18,25.25,25.525,22.162222,2559988
2012-01-20,25.530001000000002,25.684998999999998,25.190001000000002,25.65,22.270756,1947437
2012-01-23,25.59,25.65,25.385,25.645,22.266415,1234162
2012-01-24,25.415001,25.969998999999998,25.385,25.969998999999998,22.548597,1193026
2012-01-25,26.0,26.135,25.535,25.809998999999998,22.409679,1738042
2012-01-26,25.91,25.940001000000002,25.24,25.445,22.092764000000003,1823406
2012-01-27,25.594998999999998,26.065001000000002,25.51,25.610001,22.236025,1837179
2012-01-30,25.405001000000002,25.67,25.235001,25.379998999999998,22.036329000000002,1557321
2012-01-31,25.75,25.889999,25.5,25.68,22.296803,1957311
2012-02-01,25.735001,25.99,25.709999,25.955,22.535572,1543984
2012-02-02,25.98,26.0,25.82,25.959999,22.539915,1255122
2012-02-03,25.950001,27.559998999999998,25.940001000000002,27.540001,23.911758,2894178
2012-02-06,27.41,27.514999,27.105,27.23,23.642603,1469732
2012-02-07,27.23,27.23,26.764999,26.955,23.40383,775466
2012-02-08,26.945,27.190001000000002,26.360001,26.455,22.969704,1477695
2012-02-09,26.415001,26.885,26.165001,26.83,23.2953,1784527
2012-02-10,26.57,26.889999,26.565001000000002,26.75,23.225838,756600
2012-02-13,26.885,27.049999,26.83,27.049999,23.486315,774750
2012-02-14,26.889999,27.075001,26.74,26.99,23.434219,749507
2012-02-15,27.1,27.25,26.889999,27.035,23.473288,833145
2012-02-16,26.9,26.98,26.540001,26.889999,23.347393,1040933
2012-02-17,27.040001,27.17,26.780001000000002,27.120001000000002,23.547094,1011000
2012-02-20,27.245001000000002,27.48,26.969998999999998,27.07,23.503681,894991
2012-02-21,27.0,27.275,26.84,27.0,23.442902,1119109
2012-02-22,26.955,27.25,26.924999,27.165001,23.586164,934879
2012-02-23,27.165001,27.66,26.98,27.295,23.699039000000003,1112549
2012-02-24,27.32,27.375,26.985001,27.059998999999998,23.494995,950634
2012-02-27,26.93,27.275,26.9,27.165001,23.586164,667975
2012-02-28,27.16,27.245001000000002,26.969998999999998,27.190001000000002,23.607872,890411
2012-02-29,27.25,27.42,27.049999,27.264999,23.672989,1148823
2012-03-01,27.4,28.049999,27.209999,28.049999,24.354568,1323632
2012-03-02,28.040001,28.040001,27.584999,27.65,24.007267000000002,1214152
2012-03-05,27.540001,27.645,27.285,27.469998999999998,23.850983,898614
2012-03-06,27.440001000000002,27.440001000000002,26.450001,26.450001,22.965360999999998,1419276
2012-03-07,26.299999,27.040001,26.299999,26.844998999999998,23.308323,1444173
2012-03-08,28.940001000000002,29.74,28.455,29.74,25.821918,6425704
2012-03-09,29.705,30.200001,29.215,30.059998999999998,26.099764,3404542
2012-03-12,29.905001000000002,29.99,29.24,29.700001,25.787191,2527761
